post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47588349,GitHub Monaspace Case Study,science,146,50,homebrewer,2026-04-05 16:30:13,0.3401360544217687,False
47636203,"Scientists are working on ""everything vaccines""",science,49,56,andsoitis,2026-04-05 16:30:29,1.12,False
47636660,Systemd-free Modern Linux: artixlinux and dinit and labwc and noctalia shell,science,13,0,grigio,2026-04-05 16:30:31,0.0,False
47637077,Scientists mapped all the nerves of the clitoris for the first time,science,15,2,01-_-,2026-04-05 16:30:51,0.125,False
47624879,Switzerland hosts 'CERN of semiconductor research',science,34,6,teleforce,2026-04-05 16:31:14,0.17142857142857143,False
47588476,"Trap a quantum object in a box – is it hard or soft, or is it black or white?",science,10,0,allangoff,2026-04-05 16:31:21,0.0,False
47609883,"Salomi, a research repo on extreme low-bit transformer quantization",science,12,4,Edward9055,2026-04-05 16:32:01,0.3076923076923077,False
47609725,Show HN: NASA Artemis II Mission Timeline Tracker,science,93,17,AustinDev,2026-04-05 16:32:13,0.18085106382978725,False
47613118,Show HN: I built a small app for FSI German Course,entertainment,37,12,syedmsawaid,2026-04-05 16:32:48,0.3157894736842105,False
47646504,Show HN: OsintRadar – Curated directory for osint tools,entertainment,12,1,lexalizer,2026-04-05 16:32:49,0.07692307692307693,False
47639303,"Show HN: I made open source, zero power PCB hackathon badges",entertainment,110,10,kaipereira,2026-04-05 16:32:51,0.09009009009009009,False
47642601,Show HN: M. C. Escher spiral in WebGL inspired by 3Blue1Brown,entertainment,88,13,laszlokorte,2026-04-05 16:32:56,0.14606741573033707,False
47639567,Show HN: TurboQuant-WASM – Google's vector quantization in the browser,entertainment,154,6,teamchong,2026-04-05 16:32:59,0.03870967741935484,False
47625952,Show HN: I built a frontpage for personal blogs,entertainment,757,190,ramkarthikk,2026-04-05 16:33:21,0.25065963060686014,True
47633947,The FAA’s flight restriction for drones is an attempt to criminalize filming ICE,entertainment,534,180,detaro,2026-04-05 16:33:36,0.3364485981308411,True
47626598,Show HN: ctx – an Agentic Development Environment (ADE),entertainment,48,52,luca-ctx,2026-04-05 16:33:58,1.0612244897959184,False
47638532,"Show HN: Ownscribe – local meeting transcription, summarization and search",entertainment,11,0,paberr,2026-04-05 16:34:01,0.0,False
47630109,Firm boosts H.264 streaming license fees from $100k up to staggering $4.5M,entertainment,187,73,MaximilianEmel,2026-04-05 16:34:08,0.3882978723404255,True
47640770,Show HN: DocMason – Agent Knowledge Base for local complex office files,entertainment,7,0,Jet_Xu,2026-04-05 16:34:10,0.0,False
47632692,Show HN: Mtproto.zig – High-performance Telegram proxy with DPI evasion,entertainment,21,14,slp3r,2026-04-05 16:34:22,0.6363636363636364,False
47606560,"Show HN: Dull – Instagram Without Reels, YouTube Without Shorts (iOS)",entertainment,152,117,kasparnoor,2026-04-05 16:34:24,0.7647058823529411,False
